,Datos,Tiempo
0,3.4000000953674316,Fri May 26 17:49:08 2023
1,3.4000000953674316,Fri May 26 17:49:09 2023
2,1839.4000244140625,Fri May 26 17:49:10 2023
3,2557.39990234375,Fri May 26 17:49:11 2023
4,3285.39990234375,Fri May 26 17:49:12 2023
5,4743.39990234375,Fri May 26 17:49:13 2023
6,5711.39990234375,Fri May 26 17:49:14 2023
7,6431.39990234375,Fri May 26 17:49:15 2023
8,8009.39990234375,Fri May 26 17:49:16 2023
9,8473.400390625,Fri May 26 17:49:17 2023
10,9859.400390625,Fri May 26 17:49:18 2023
